kind,mode,round,log,cpu_p50_ms,cpu_p99_ms,measured_loop_wall_s,process_cpu_s,alloc_B_frame,rss_peak_MiB,private_peak_MiB,managed_heap_peak_MiB,managed_retained_peak_MiB,managed_retained_post_gc_MiB,gpu_main_p50_ms,gpu_main_p99_ms,vk_allocated_peak_MiB,cache_peak_MiB,image_resident_peak_MiB,text_resident_peak_MiB,readback_pool_resident_before_close_MiB,gpu_upload_samples,gpu_upload_p50_ms,gpu_upload_p99_ms,gpu_effects_samples,gpu_effects_p50_ms,gpu_effects_p99_ms,gpu_offscreen_samples,gpu_offscreen_p50_ms,gpu_offscreen_p99_ms
shape,unchanged,2,logs/037-r2-shape-unchanged.log.gz,0.924994,1.625004,2.04061841,2.327509,0.0,160.9609375,153.90234375,9.402870178222656,6.716575622558594,6.7159423828125,0.14336,0.149504,6.0,0.25034332275390625,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
shape,unchanged,3,logs/056-r3-shape-unchanged.log.gz,0.90676,1.817306,2.038392261,2.347689,0.0,160.87890625,153.92578125,9.410820007324219,6.716575622558594,6.7159423828125,0.14336,0.149504,6.0,0.25034332275390625,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
shape,sparse,1,logs/011-r1-shape-sparse.log.gz,0.936376,1.768484,2.057014753,2.573568,1776.0,162.4375,153.07421875,12.786376953125,6.716156005859375,6.716156005859375,0.144384,0.147456,6.0,0.25034332275390625,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
shape,sparse,2,logs/023-r2-shape-sparse.log.gz,0.989596,1.683585,2.127284712,2.683902,1776.0,162.37109375,153.00390625,12.786300659179688,6.716156005859375,6.716156005859375,0.147456,0.150528,6.0,0.25034332275390625,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
shape,sparse,3,logs/063-r3-shape-sparse.log.gz,0.930685,1.546476,2.053848471,2.491294,1776.0,162.66796875,153.12109375,12.786582946777344,6.716156005859375,6.716156005859375,0.14336,0.149504,6.0,0.25034332275390625,0.0,0.25,0.0,2000,9.6e-05,0.00016,0,0.0,0.0,0,0.0,0.0
shape,full,1,logs/018-r1-shape-full.log.gz,3.531108,4.893025,7.424161544,7.81006,1616160.0,170.68359375,161.01953125,15.607467651367188,6.754707336425781,6.754707336425781,0.175104,0.205824,6.0,0.25034332275390625,0.0,0.25,0.0,2000,9.6e-05,0.000256,0,0.0,0.0,0,0.0,0.0
shape,full,2,logs/030-r2-shape-full.log.gz,3.825293,6.432298,8.0407691,8.173628,1616160.0,167.19140625,157.94921875,15.606033325195312,6.754707336425781,6.754707336425781,0.149504,0.177152,6.0,0.25034332275390625,0.0,0.25,0.0,2000,9.6e-05,0.00032,0,0.0,0.0,0,0.0,0.0
shape,full,3,logs/049-r3-shape-full.log.gz,3.509507,4.814117,7.355107139,7.668409,1616160.0,170.7734375,161.10546875,15.606033325195312,6.754707336425781,6.754707336425781,0.29696,0.497664,6.0,0.25034332275390625,0.0,0.25,0.0,2000,9.6e-05,0.000288,0,0.0,0.0,0,0.0,0.0
button,unchanged,1,logs/005-r1-button-unchanged.log.gz,0.851345,1.727597,1.746187082,2.33403,0.0,158.60546875,151.61328125,9.340362548828125,6.6461181640625,6.6454620361328125,0.017408,0.021504,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
button,unchanged,2,logs/038-r2-button-unchanged.log.gz,0.803355,1.689906,1.761320708,2.250758,0.0,158.671875,151.6171875,9.340263366699219,6.6461181640625,6.6454620361328125,0.017408,0.02048,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
button,unchanged,3,logs/050-r3-button-unchanged.log.gz,0.707614,1.305952,1.533864705,2.07783,0.0,158.61328125,151.60546875,9.348175048828125,6.6461181640625,6.6454620361328125,0.016384,0.018432,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
